GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108,HD01_VD109,HD02_VD109,HD01_VD110,HD02_VD110,HD01_VD111,HD02_VD111,HD01_VD112,HD02_VD112,HD01_VD113,HD02_VD113,HD01_VD114,HD02_VD114,HD01_VD115,HD02_VD115,HD01_VD116,HD02_VD116,HD01_VD117,HD02_VD117,HD01_VD118,HD02_VD118,HD01_VD119,HD02_VD119
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Speak only English,Margin of Error; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,Margin of Error; Total: - Spanish or Spanish Creole:,"Estimate; Total: - Spanish or Spanish Creole: - Speak English ""very well""","Margin of Error; Total: - Spanish or Spanish Creole: - Speak English ""very well""","Estimate; Total: - Spanish or Spanish Creole: - Speak English less than ""very well""","Margin of Error; Total: - Spanish or Spanish Creole: - Speak English less than ""very well""","Estimate; Total: - French (incl. Patois, Cajun):","Margin of Error; Total: - French (incl. Patois, Cajun):","Estimate; Total: - French (incl. Patois, Cajun): - Speak English ""very well""","Margin of Error; Total: - French (incl. Patois, Cajun): - Speak English ""very well""","Estimate; Total: - French (incl. Patois, Cajun): - Speak English less than ""very well""","Margin of Error; Total: - French (incl. Patois, Cajun): - Speak English less than ""very well""",Estimate; Total: - French Creole:,Margin of Error; Total: - French Creole:,"Estimate; Total: - French Creole: - Speak English ""very well""","Margin of Error; Total: - French Creole: - Speak English ""very well""","Estimate; Total: - French Creole: - Speak English less than ""very well""","Margin of Error; Total: - French Creole: - Speak English less than ""very well""",Estimate; Total: - Italian:,Margin of Error; Total: - Italian:,"Estimate; Total: - Italian: - Speak English ""very well""","Margin of Error; Total: - Italian: - Speak English ""very well""","Estimate; Total: - Italian: - Speak English less than ""very well""","Margin of Error; Total: - Italian: - Speak English less than ""very well""",Estimate; Total: - Portuguese or Portuguese Creole:,Margin of Error; Total: - Portuguese or Portuguese Creole:,"Estimate; Total: - Portuguese or Portuguese Creole: - Speak English ""very well""","Margin of Error; Total: - Portuguese or Portuguese Creole: - Speak English ""very well""","Estimate; Total: - Portuguese or Portuguese Creole: - Speak English less than ""very well""","Margin of Error; Total: - Portuguese or Portuguese Creole: - Speak English less than ""very well""",Estimate; Total: - German:,Margin of Error; Total: - German:,"Estimate; Total: - German: - Speak English ""very well""","Margin of Error; Total: - German: - Speak English ""very well""","Estimate; Total: - German: - Speak English less than ""very well""","Margin of Error; Total: - German: - Speak English less than ""very well""",Estimate; Total: - Yiddish:,Margin of Error; Total: - Yiddish:,"Estimate; Total: - Yiddish: - Speak English ""very well""","Margin of Error; Total: - Yiddish: - Speak English ""very well""","Estimate; Total: - Yiddish: - Speak English less than ""very well""","Margin of Error; Total: - Yiddish: - Speak English less than ""very well""",Estimate; Total: - Other West Germanic languages:,Margin of Error; Total: - Other West Germanic languages:,"Estimate; Total: - Other West Germanic languages: - Speak English ""very well""","Margin of Error; Total: - Other West Germanic languages: - Speak English ""very well""","Estimate; Total: - Other West Germanic languages: - Speak English less than ""very well""","Margin of Error; Total: - Other West Germanic languages: - Speak English less than ""very well""",Estimate; Total: - Scandinavian languages:,Margin of Error; Total: - Scandinavian languages:,"Estimate; Total: - Scandinavian languages: - Speak English ""very well""","Margin of Error; Total: - Scandinavian languages: - Speak English ""very well""","Estimate; Total: - Scandinavian languages: - Speak English less than ""very well""","Margin of Error; Total: - Scandinavian languages: - Speak English less than ""very well""",Estimate; Total: - Greek:,Margin of Error; Total: - Greek:,"Estimate; Total: - Greek: - Speak English ""very well""","Margin of Error; Total: - Greek: - Speak English ""very well""","Estimate; Total: - Greek: - Speak English less than ""very well""","Margin of Error; Total: - Greek: - Speak English less than ""very well""",Estimate; Total: - Russian:,Margin of Error; Total: - Russian:,"Estimate; Total: - Russian: - Speak English ""very well""","Margin of Error; Total: - Russian: - Speak English ""very well""","Estimate; Total: - Russian: - Speak English less than ""very well""","Margin of Error; Total: - Russian: - Speak English less than ""very well""",Estimate; Total: - Polish:,Margin of Error; Total: - Polish:,"Estimate; Total: - Polish: - Speak English ""very well""","Margin of Error; Total: - Polish: - Speak English ""very well""","Estimate; Total: - Polish: - Speak English less than ""very well""","Margin of Error; Total: - Polish: - Speak English less than ""very well""",Estimate; Total: - Serbo-Croatian:,Margin of Error; Total: - Serbo-Croatian:,"Estimate; Total: - Serbo-Croatian: - Speak English ""very well""","Margin of Error; Total: - Serbo-Croatian: - Speak English ""very well""","Estimate; Total: - Serbo-Croatian: - Speak English less than ""very well""","Margin of Error; Total: - Serbo-Croatian: - Speak English less than ""very well""",Estimate; Total: - Other Slavic languages:,Margin of Error; Total: - Other Slavic languages:,"Estimate; Total: - Other Slavic languages: - Speak English ""very well""","Margin of Error; Total: - Other Slavic languages: - Speak English ""very well""","Estimate; Total: - Other Slavic languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Slavic languages: - Speak English less than ""very well""",Estimate; Total: - Armenian:,Margin of Error; Total: - Armenian:,"Estimate; Total: - Armenian: - Speak English ""very well""","Margin of Error; Total: - Armenian: - Speak English ""very well""","Estimate; Total: - Armenian: - Speak English less than ""very well""","Margin of Error; Total: - Armenian: - Speak English less than ""very well""",Estimate; Total: - Persian:,Margin of Error; Total: - Persian:,"Estimate; Total: - Persian: - Speak English ""very well""","Margin of Error; Total: - Persian: - Speak English ""very well""","Estimate; Total: - Persian: - Speak English less than ""very well""","Margin of Error; Total: - Persian: - Speak English less than ""very well""",Estimate; Total: - Gujarati:,Margin of Error; Total: - Gujarati:,"Estimate; Total: - Gujarati: - Speak English ""very well""","Margin of Error; Total: - Gujarati: - Speak English ""very well""","Estimate; Total: - Gujarati: - Speak English less than ""very well""","Margin of Error; Total: - Gujarati: - Speak English less than ""very well""",Estimate; Total: - Hindi:,Margin of Error; Total: - Hindi:,"Estimate; Total: - Hindi: - Speak English ""very well""","Margin of Error; Total: - Hindi: - Speak English ""very well""","Estimate; Total: - Hindi: - Speak English less than ""very well""","Margin of Error; Total: - Hindi: - Speak English less than ""very well""",Estimate; Total: - Urdu:,Margin of Error; Total: - Urdu:,"Estimate; Total: - Urdu: - Speak English ""very well""","Margin of Error; Total: - Urdu: - Speak English ""very well""","Estimate; Total: - Urdu: - Speak English less than ""very well""","Margin of Error; Total: - Urdu: - Speak English less than ""very well""",Estimate; Total: - Other Indic languages:,Margin of Error; Total: - Other Indic languages:,"Estimate; Total: - Other Indic languages: - Speak English ""very well""","Margin of Error; Total: - Other Indic languages: - Speak English ""very well""","Estimate; Total: - Other Indic languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Indic languages: - Speak English less than ""very well""",Estimate; Total: - Other Indo-European languages:,Margin of Error; Total: - Other Indo-European languages:,"Estimate; Total: - Other Indo-European languages: - Speak English ""very well""","Margin of Error; Total: - Other Indo-European languages: - Speak English ""very well""","Estimate; Total: - Other Indo-European languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Indo-European languages: - Speak English less than ""very well""",Estimate; Total: - Chinese:,Margin of Error; Total: - Chinese:,"Estimate; Total: - Chinese: - Speak English ""very well""","Margin of Error; Total: - Chinese: - Speak English ""very well""","Estimate; Total: - Chinese: - Speak English less than ""very well""","Margin of Error; Total: - Chinese: - Speak English less than ""very well""",Estimate; Total: - Japanese:,Margin of Error; Total: - Japanese:,"Estimate; Total: - Japanese: - Speak English ""very well""","Margin of Error; Total: - Japanese: - Speak English ""very well""","Estimate; Total: - Japanese: - Speak English less than ""very well""","Margin of Error; Total: - Japanese: - Speak English less than ""very well""",Estimate; Total: - Korean:,Margin of Error; Total: - Korean:,"Estimate; Total: - Korean: - Speak English ""very well""","Margin of Error; Total: - Korean: - Speak English ""very well""","Estimate; Total: - Korean: - Speak English less than ""very well""","Margin of Error; Total: - Korean: - Speak English less than ""very well""","Estimate; Total: - Mon-Khmer, Cambodian:","Margin of Error; Total: - Mon-Khmer, Cambodian:","Estimate; Total: - Mon-Khmer, Cambodian: - Speak English ""very well""","Margin of Error; Total: - Mon-Khmer, Cambodian: - Speak English ""very well""","Estimate; Total: - Mon-Khmer, Cambodian: - Speak English less than ""very well""","Margin of Error; Total: - Mon-Khmer, Cambodian: - Speak English less than ""very well""",Estimate; Total: - Hmong:,Margin of Error; Total: - Hmong:,"Estimate; Total: - Hmong: - Speak English ""very well""","Margin of Error; Total: - Hmong: - Speak English ""very well""","Estimate; Total: - Hmong: - Speak English less than ""very well""","Margin of Error; Total: - Hmong: - Speak English less than ""very well""",Estimate; Total: - Thai:,Margin of Error; Total: - Thai:,"Estimate; Total: - Thai: - Speak English ""very well""","Margin of Error; Total: - Thai: - Speak English ""very well""","Estimate; Total: - Thai: - Speak English less than ""very well""","Margin of Error; Total: - Thai: - Speak English less than ""very well""",Estimate; Total: - Laotian:,Margin of Error; Total: - Laotian:,"Estimate; Total: - Laotian: - Speak English ""very well""","Margin of Error; Total: - Laotian: - Speak English ""very well""","Estimate; Total: - Laotian: - Speak English less than ""very well""","Margin of Error; Total: - Laotian: - Speak English less than ""very well""",Estimate; Total: - Vietnamese:,Margin of Error; Total: - Vietnamese:,"Estimate; Total: - Vietnamese: - Speak English ""very well""","Margin of Error; Total: - Vietnamese: - Speak English ""very well""","Estimate; Total: - Vietnamese: - Speak English less than ""very well""","Margin of Error; Total: - Vietnamese: - Speak English less than ""very well""",Estimate; Total: - Other Asian languages:,Margin of Error; Total: - Other Asian languages:,"Estimate; Total: - Other Asian languages: - Speak English ""very well""","Margin of Error; Total: - Other Asian languages: - Speak English ""very well""","Estimate; Total: - Other Asian languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Asian languages: - Speak English less than ""very well""",Estimate; Total: - Tagalog:,Margin of Error; Total: - Tagalog:,"Estimate; Total: - Tagalog: - Speak English ""very well""","Margin of Error; Total: - Tagalog: - Speak English ""very well""","Estimate; Total: - Tagalog: - Speak English less than ""very well""","Margin of Error; Total: - Tagalog: - Speak English less than ""very well""",Estimate; Total: - Other Pacific Island languages:,Margin of Error; Total: - Other Pacific Island languages:,"Estimate; Total: - Other Pacific Island languages: - Speak English ""very well""","Margin of Error; Total: - Other Pacific Island languages: - Speak English ""very well""","Estimate; Total: - Other Pacific Island languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Pacific Island languages: - Speak English less than ""very well""",Estimate; Total: - Navajo:,Margin of Error; Total: - Navajo:,"Estimate; Total: - Navajo: - Speak English ""very well""","Margin of Error; Total: - Navajo: - Speak English ""very well""","Estimate; Total: - Navajo: - Speak English less than ""very well""","Margin of Error; Total: - Navajo: - Speak English less than ""very well""",Estimate; Total: - Other Native North American languages:,Margin of Error; Total: - Other Native North American languages:,"Estimate; Total: - Other Native North American languages: - Speak English ""very well""","Margin of Error; Total: - Other Native North American languages: - Speak English ""very well""","Estimate; Total: - Other Native North American languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Native North American languages: - Speak English less than ""very well""",Estimate; Total: - Hungarian:,Margin of Error; Total: - Hungarian:,"Estimate; Total: - Hungarian: - Speak English ""very well""","Margin of Error; Total: - Hungarian: - Speak English ""very well""","Estimate; Total: - Hungarian: - Speak English less than ""very well""","Margin of Error; Total: - Hungarian: - Speak English less than ""very well""",Estimate; Total: - Arabic:,Margin of Error; Total: - Arabic:,"Estimate; Total: - Arabic: - Speak English ""very well""","Margin of Error; Total: - Arabic: - Speak English ""very well""","Estimate; Total: - Arabic: - Speak English less than ""very well""","Margin of Error; Total: - Arabic: - Speak English less than ""very well""",Estimate; Total: - Hebrew:,Margin of Error; Total: - Hebrew:,"Estimate; Total: - Hebrew: - Speak English ""very well""","Margin of Error; Total: - Hebrew: - Speak English ""very well""","Estimate; Total: - Hebrew: - Speak English less than ""very well""","Margin of Error; Total: - Hebrew: - Speak English less than ""very well""",Estimate; Total: - African languages:,Margin of Error; Total: - African languages:,"Estimate; Total: - African languages: - Speak English ""very well""","Margin of Error; Total: - African languages: - Speak English ""very well""","Estimate; Total: - African languages: - Speak English less than ""very well""","Margin of Error; Total: - African languages: - Speak English less than ""very well""",Estimate; Total: - Other and unspecified languages:,Margin of Error; Total: - Other and unspecified languages:,"Estimate; Total: - Other and unspecified languages: - Speak English ""very well""","Margin of Error; Total: - Other and unspecified languages: - Speak English ""very well""","Estimate; Total: - Other and unspecified languages: - Speak English less than ""very well""","Margin of Error; Total: - Other and unspecified languages: - Speak English less than ""very well"""
8600000US98001,98001,ZCTA5 98001,31680,1028,22858,946,1877,463,1015,332,862,260,136,145,136,145,0,25,0,25,0,25,0,25,16,26,16,26,0,25,0,25,0,25,0,25,162,100,162,100,0,25,0,25,0,25,0,25,0,25,0,25,0,25,59,64,59,64,0,25,0,25,0,25,0,25,1263,453,806,356,457,158,39,63,39,63,0,25,0,25,0,25,0,25,674,335,241,183,433,259,0,25,0,25,0,25,172,166,172,166,0,25,0,25,0,25,0,25,36,46,36,46,0,25,0,25,0,25,0,25,651,407,455,291,196,139,54,37,25,30,29,29,358,201,210,135,148,96,8,14,8,14,0,25,1463,564,783,452,680,231,56,72,56,72,0,25,0,25,0,25,0,25,5,8,0,25,5,8,83,64,33,28,50,44,286,251,97,133,189,179,86,85,59,65,27,52,522,215,249,150,273,157,210,157,179,163,31,36,0,25,0,25,0,25,8,13,8,13,0,25,0,25,0,25,0,25,6,9,0,25,6,9,0,25,0,25,0,25,586,331,423,279,163,157,6,9,0,25,6,9
8600000US98002,98002,ZCTA5 98002,30839,814,22207,1115,4333,917,2223,517,2110,539,52,37,47,37,5,8,0,25,0,25,0,25,15,21,15,21,0,25,1,3,1,3,0,25,97,55,86,54,11,14,0,25,0,25,0,25,11,16,0,25,11,16,11,16,11,16,0,25,0,25,0,25,0,25,691,375,273,199,418,272,29,30,16,23,13,23,10,15,10,15,0,25,953,540,480,385,473,221,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,9,13,9,13,0,25,84,138,49,81,35,57,23,27,15,20,8,18,44,42,14,18,30,37,223,157,148,120,75,63,124,91,92,63,32,35,259,198,175,136,84,68,0,25,0,25,0,25,9,14,0,25,9,14,152,127,30,32,122,99,195,125,105,90,90,71,9,14,9,14,0,25,533,299,311,128,222,208,399,208,246,125,153,114,109,128,109,128,0,25,55,68,55,68,0,25,0,25,0,25,0,25,39,51,25,31,14,21,0,25,0,25,0,25,163,143,55,43,108,122,0,25,0,25,0,25
8600000US98003,98003,ZCTA5 98003,41761,1406,28005,1360,5606,1075,2992,667,2614,581,244,162,192,126,52,61,47,74,8,13,39,61,79,62,68,70,11,18,127,139,118,137,9,14,62,42,55,36,7,11,0,25,0,25,0,25,56,70,56,70,0,25,19,21,19,21,0,25,0,25,0,25,0,25,895,375,439,229,456,219,77,89,77,89,0,25,0,25,0,25,0,25,562,381,333,225,229,191,0,25,0,25,0,25,13,20,0,25,13,20,0,25,0,25,0,25,16,27,16,27,0,25,13,20,13,20,0,25,138,101,52,64,86,90,44,68,44,68,0,25,521,276,167,128,354,191,333,184,162,96,171,143,1850,552,657,308,1193,374,43,47,28,36,15,27,0,25,0,25,0,25,24,27,13,20,11,17,24,37,0,25,24,37,508,215,136,91,372,181,315,201,186,128,129,119,866,449,598,394,268,144,412,304,217,172,195,208,0,25,0,25,0,25,18,22,18,22,0,25,0,25,0,25,0,25,261,361,131,195,130,167,0,25,0,25,0,25,571,255,441,217,130,113,12,17,12,17,0,25
8600000US98004,98004,ZCTA5 98004,28349,868,18852,736,858,471,629,235,229,294,545,264,513,266,32,29,0,25,0,25,0,25,81,78,78,78,3,4,151,119,137,111,14,23,310,190,289,187,21,15,0,25,0,25,0,25,85,87,76,85,9,14,130,70,130,70,0,25,16,18,16,18,0,25,766,308,412,178,354,220,39,33,33,29,6,7,19,33,12,20,7,14,461,460,375,434,86,84,77,90,54,63,23,27,450,168,289,134,161,111,0,25,0,25,0,25,466,256,388,197,78,95,161,206,125,151,36,56,136,111,110,96,26,42,158,144,34,37,124,130,1926,434,1101,260,825,313,480,196,256,134,224,136,832,261,316,131,516,187,6,11,6,11,0,25,0,25,0,25,0,25,157,208,137,221,20,32,0,25,0,25,0,25,365,186,145,111,220,201,406,250,388,246,18,24,58,59,46,56,12,18,188,177,144,122,44,69,0,25,0,25,0,25,0,25,0,25,0,25,6,8,6,8,0,25,103,99,82,94,21,25,25,29,25,29,0,25,21,36,0,25,21,36,15,23,15,23,0,25
8600000US98005,98005,ZCTA5 98005,16489,832,9871,579,1017,412,478,256,539,336,192,142,174,138,18,35,42,65,42,65,0,19,13,21,13,21,0,19,0,19,0,19,0,19,206,85,177,81,29,36,0,19,0,19,0,19,15,20,15,20,0,19,0,19,0,19,0,19,67,101,39,53,28,50,490,331,399,322,91,60,56,61,37,50,19,30,24,37,11,17,13,20,0,19,0,19,0,19,0,19,0,19,0,19,132,119,111,104,21,24,66,105,0,19,66,105,602,246,352,163,250,168,54,69,47,67,7,11,224,139,107,72,117,127,176,166,138,116,38,56,1301,378,596,234,705,233,301,153,176,100,125,78,610,222,348,141,262,131,0,19,0,19,0,19,0,19,0,19,0,19,20,24,0,19,20,24,12,17,0,19,12,17,93,97,42,46,51,52,479,227,302,144,177,166,74,75,48,71,26,20,38,59,38,59,0,19,0,19,0,19,0,19,0,19,0,19,0,19,7,11,7,11,0,19,84,79,55,56,29,36,105,106,93,96,12,19,118,119,68,94,50,79,0,19,0,19,0,19
8600000US98006,98006,ZCTA5 98006,34551,982,22813,1020,867,332,683,312,184,110,202,109,164,81,38,50,0,25,0,25,0,25,39,50,39,50,0,25,79,69,66,65,13,21,235,118,200,111,35,44,0,25,0,25,0,25,81,87,61,67,20,31,113,61,113,61,0,25,24,31,18,29,6,13,356,220,240,193,116,84,12,19,12,19,0,25,0,25,0,25,0,25,95,81,95,81,0,25,53,85,53,85,0,25,332,244,289,234,43,42,85,111,85,111,0,25,274,162,274,162,0,25,181,164,167,159,14,23,46,56,36,42,10,17,2,5,0,25,2,5,5159,619,2785,515,2374,353,695,237,401,188,294,110,1604,483,616,243,988,330,199,213,73,103,126,167,0,25,0,25,0,25,35,47,12,19,23,41,24,36,24,36,0,25,209,147,143,113,66,59,289,225,273,223,16,23,295,164,244,154,51,47,58,60,49,54,9,13,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,14,23,14,23,0,25,81,69,38,51,43,49,0,25,0,25,0,25
8600000US98007,98007,ZCTA5 98007,23143,964,10900,979,2318,830,887,316,1431,583,133,89,133,89,0,22,0,22,0,22,0,22,13,22,13,22,0,22,25,41,0,22,25,41,203,137,181,133,22,34,0,22,0,22,0,22,27,30,14,23,13,20,0,22,0,22,0,22,0,22,0,22,0,22,750,306,233,122,517,241,167,103,66,44,101,77,53,61,0,22,53,61,61,52,32,27,29,46,0,22,0,22,0,22,96,66,37,46,59,66,60,70,45,54,15,25,1242,346,1000,292,242,124,89,116,67,99,22,36,666,375,325,205,341,245,117,94,33,36,84,79,1645,452,669,215,976,341,160,129,18,30,142,124,531,287,291,143,240,188,160,181,23,26,137,155,0,22,0,22,0,22,0,22,0,22,0,22,30,52,0,22,30,52,306,174,102,89,204,141,2772,576,1922,463,850,310,132,120,56,57,76,69,7,12,7,12,0,22,0,22,0,22,0,22,40,61,40,61,0,22,0,22,0,22,0,22,188,185,152,175,36,40,38,34,38,34,0,22,214,173,167,154,47,53,0,22,0,22,0,22
8600000US98008,98008,ZCTA5 98008,23096,774,15818,799,1297,407,623,229,674,271,288,135,273,133,15,19,0,22,0,22,0,22,35,49,35,49,0,22,0,22,0,22,0,22,66,46,51,38,15,18,0,22,0,22,0,22,0,22,0,22,0,22,61,60,61,60,0,22,0,22,0,22,0,22,614,282,360,193,254,141,21,24,8,12,13,20,119,162,69,84,50,80,39,62,26,42,13,21,0,22,0,22,0,22,318,235,98,79,220,182,95,72,68,55,27,44,277,190,270,188,7,13,22,36,10,17,12,19,79,64,55,52,24,38,299,209,222,166,77,60,1237,286,662,205,575,163,281,134,224,106,57,46,219,126,147,89,72,56,143,95,48,51,95,66,61,98,0,22,61,98,52,52,7,12,45,51,7,11,0,22,7,11,394,192,122,74,272,148,393,245,228,167,165,99,219,134,165,105,54,52,56,68,41,48,15,23,0,22,0,22,0,22,48,74,48,74,0,22,20,33,0,22,20,33,72,91,52,62,20,30,200,151,176,145,24,36,239,148,111,84,128,79,7,11,0,22,7,11
8600000US98010,98010,ZCTA5 98010,4510,196,4261,273,164,123,164,123,0,12,13,20,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,20,13,20,0,12,0,12,0,12,0,12,12,21,12,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,48,9,16,18,32,0,12,0,12,0,12,20,30,20,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
